resource_id,author,year,title,doi_isbn,journal,volume_pages
12,"Veron, J. E. N., Pichon, M.",1976,"Scleractinia of Eastern Australia, Part I. Families Thamnasteriidae, Astrocoenidae, Pocilloporidae ",10.1017/s0025315400028289,Australian Institute of Marine Science Monograph Series,Volume 1
19,"Cumming, R. L.",1999,"Predation on reef-building corals: multiscale variation in the density of three corallivorous gastropods, Drupella spp.",10.1007/s003380050170,Coral Reefs,"18, 147-157"
64,"Glynn, P. W., Colley, S. B., Ting, J. H., Mat&#x000E9;, J. L., Guzm&#x000E1;n, H. M.",2000,"Reef coral reproduction in the eastern Pacific: Costa Rica, Panam&#x000E1; and Gal&#x000E1;pagos Islands (Ecuador). IV. Agariciidae, recruitment and recovery of Pavona varians and Pavona sp.a",10.1007/s002270000286,Marine Biology,"136, 785-805"
543,"Szmant, A. M.",1986,Reproductive ecology of Caribbean reef corals,10.1007/bf00302170,Coral Reefs,"5, 43-53"
98,"Goffredo, S., Airi, V., Radetić, J., Zaccanti, F.",2005,"Sexual reproduction of the solitary sunset cup coral Leptopsammia pruvoti (Scleractinia, Dendrophylliidae) in the Mediterranean. 2. Quantitative aspects of the annual reproductive cycle",10.1007/s00227-005-0137-8,Marine Biology,"148, 923-931"
15,"Veron, J. E. N., Wallace, C. C.",1984,Scleractinia of eastern Australia. Part V /,10.5962/bhl.title.60641,,", "
20,"Pratchett, M. S.",2005,"Dietary overlap among coral-feeding butterflyfishes (Chaetodontidae) at Lizard Island, northern Great Barrier Reef",10.1007/s00227-005-0084-4,Marine Biology,"148, 373-382"
18,"Roff, G., Ulstrup, K. E., Fine, M., Ralph, P. J., Hoegh Guldberg, O.",2008,SPATIAL HETEROGENEITY OF PHOTOSYNTHETIC ACTIVITY WITHIN DISEASED CORALS FROM THE GREAT BARRIER REEF,10.1111/j.1529-8817.2008.00480.x,Journal of Phycology,"44, 526-538"
13,"Veron, J. E. N., Pichon, M., Wijsman-Best, M.",1977,"Scleractinia of Eastern Australia, Part II. Families Faviidae, Trachyphyliidae","",Australian institute of marine science monograph series,volume 3
23,"Wallace, C.",1999,Staghorn Corals of the World: A revision of the genus Acropora,"",CSIRO Publishing,""
