observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
115702,1,10,3,Acanthastrea brevis,1,Global estimate,,,11,,136089,91,Depth upper,9,m,,,1,group_opinion,,,,,
115701,1,10,3,Acanthastrea brevis,1,Global estimate,,,11,,136088,92,Depth lower,9,m,,,20,group_opinion,,,,,
117533,1,10,4,Acanthastrea echinata,188,"Moorea, French Polynesia",-17.53144,-149.831543,289,,137920,92,Depth lower,9,m,,,40,raw_value,,,,,
117312,1,10,4,Acanthastrea echinata,189,La Reunion,-21.125885,55.52236,288,,137699,91,Depth upper,9,m,,,10,raw_value,,,,,
117311,1,10,4,Acanthastrea echinata,189,La Reunion,-21.125885,55.52236,288,,137698,92,Depth lower,9,m,,,40,raw_value,,,,,
117534,1,10,4,Acanthastrea echinata,188,"Moorea, French Polynesia",-17.53144,-149.831543,289,,137921,91,Depth upper,9,m,,,15,raw_value,,,,,
115703,1,10,4,Acanthastrea echinata,1,Global estimate,,,11,,136090,92,Depth lower,9,m,,,50,group_opinion,,,,,
115704,1,10,4,Acanthastrea echinata,1,Global estimate,,,11,,136091,91,Depth upper,9,m,,,0,group_opinion,,,,,
115705,1,10,6,Acanthastrea hemprichi,1,Global estimate,,,11,,136092,92,Depth lower,9,m,,,20,group_opinion,,,,,
115706,1,10,6,Acanthastrea hemprichi,1,Global estimate,,,11,,136093,91,Depth upper,9,m,,,2,group_opinion,,,,,
115707,1,10,8,Acanthastrea ishigakiensis,1,Global estimate,,,11,,136094,92,Depth lower,9,m,,,15,group_opinion,,,,,
115708,1,10,8,Acanthastrea ishigakiensis,1,Global estimate,,,11,,136095,91,Depth upper,9,m,,,1,group_opinion,,,,,
115709,1,10,12,Acanthastrea regularis,1,Global estimate,,,11,,136096,92,Depth lower,9,m,,,20,group_opinion,,,,,
115710,1,10,12,Acanthastrea regularis,1,Global estimate,,,11,,136097,91,Depth upper,9,m,,,2,group_opinion,,,,,
115712,1,10,13,Acanthastrea rotundoflora,1,Global estimate,,,11,,136099,91,Depth upper,9,m,,,2,group_opinion,,,,,
115711,1,10,13,Acanthastrea rotundoflora,1,Global estimate,,,11,,136098,92,Depth lower,9,m,,,30,group_opinion,,,,,
115714,1,10,14,Acanthastrea subechinata,1,Global estimate,,,11,,136101,91,Depth upper,9,m,,,0,group_opinion,,,,,
115713,1,10,14,Acanthastrea subechinata,1,Global estimate,,,11,,136100,92,Depth lower,9,m,,,35,group_opinion,,,,,
