observation_id,access,user_id,coral_id,location_id,resource_id,trait_id,standard_id,methodology_id,value,value_type,precision,precision_type,precision_upper,replicates,notes
1,1,8,37,227,595,60,38,2,14.1,mean,,,,6,no standard deviation provided
1,1,8,37,227,595,143,9,6,7.3,raw_value,,,,,
1,1,8,37,227,595,153,30,,37,raw_value,,,,,
1,1,8,37,227,595,142,10,,back,raw_value,,,,,
1,1,8,37,227,595,127,34,18,12.7,mean,,,,6,
2,1,8,37,227,595,60,38,2,12.6,mean,,,,11,no standard deviation provided
2,1,8,37,227,595,143,9,6,7.8,raw_value,,,,,
2,1,8,37,227,595,153,30,,34.9,raw_value,,,,,
2,1,8,37,227,595,142,10,,back,raw_value,,,,,
2,1,8,37,227,595,127,34,18,10.7,mean,,,,11,
3,1,8,37,227,595,60,38,2,10,mean,,,,2,no standard deviation provided
3,1,8,37,227,595,143,9,6,8.3,raw_value,,,,,
3,1,8,37,227,595,153,30,,33,raw_value,,,,,
3,1,8,37,227,595,142,10,,back,raw_value,,,,,
3,1,8,37,227,595,127,34,18,6.8,mean,,,,2,
4,1,8,37,227,595,60,38,2,11.2,mean,,,,7,no standard deviation provided
4,1,8,37,227,595,143,9,6,9.5,raw_value,,,,,
4,1,8,37,227,595,153,30,,29.1,raw_value,,,,,
4,1,8,37,227,595,142,10,,back,raw_value,,,,,
4,1,8,37,227,595,127,34,18,7.4,mean,,,,7,
5,1,8,37,227,595,60,38,2,7.4,mean,,,,6,no standard deviation provided
5,1,8,37,227,595,143,9,6,11.5,raw_value,,,,,
5,1,8,37,227,595,153,30,,23.5,raw_value,,,,,
5,1,8,37,227,595,142,10,,back,raw_value,,,,,
5,1,8,37,227,595,127,34,18,5.3,mean,,,,6,
6,1,8,37,227,595,60,38,2,10.9,mean,,,,11,no standard deviation provided
6,1,8,37,227,595,143,9,6,5.5,raw_value,,,,,
6,1,8,37,227,595,153,30,,48,raw_value,,,,,
6,1,8,37,227,595,142,10,,fore,raw_value,,,,,
6,1,8,37,227,595,127,34,18,8.2,mean,,,,11,
7,1,8,37,227,595,60,38,2,15.9,mean,,,,4,no standard deviation provided
7,1,8,37,227,595,143,9,6,5.7,raw_value,,,,,
7,1,8,37,227,595,153,30,,48,raw_value,,,,,
7,1,8,37,227,595,142,10,,fore,raw_value,,,,,
7,1,8,37,227,595,127,34,18,14.8,mean,,,,4,
8,1,8,37,227,595,60,38,2,11.9,mean,,,,5,no standard deviation provided
8,1,8,37,227,595,143,9,6,7.2,raw_value,,,,,
