observation_id,access,user_id,coral_id,location_id,resource_id,trait_id,standard_id,methodology_id,value,value_type,precision,precision_type,precision_upper,replicates,notes
1,1,1,37,369,362,60,38,15,110,mean,40,standard_error,,5,
1,1,1,37,369,362,143,9,6,6.75,median,5,range,8.5,,
2,1,1,37,380,362,60,38,15,100,mean,40,standard_error,,5,
2,1,1,37,380,362,143,9,6,6.75,median,5,range,8.5,,
3,1,1,37,379,362,60,38,15,85,mean,25,standard_error,,5,
3,1,1,37,379,362,143,9,6,6.75,median,5,range,8.5,,
4,1,1,37,381,362,60,38,15,109,mean,27,standard_error,,5,
4,1,1,37,381,362,143,9,6,6.75,median,5,range,8.5,,
5,1,1,37,381,362,60,38,15,111,mean,30,standard_error,,5,
5,1,1,37,381,362,143,9,6,6.75,median,5,range,8.5,,
6,1,1,37,381,362,60,38,15,146,mean,40,standard_error,,5,
6,1,1,37,381,362,143,9,6,6.75,median,5,range,8.5,,
7,1,1,37,382,362,60,38,15,82,mean,40,standard_error,,5,
7,1,1,37,382,362,143,9,6,6.75,median,5,range,8.5,,
8,1,1,37,382,362,60,38,15,85,mean,50,standard_error,,5,
8,1,1,37,382,362,143,9,6,6.75,median,5,range,8.5,,
9,1,1,37,382,362,60,38,15,92,mean,40,standard_error,,5,
9,1,1,37,382,362,143,9,6,6.75,median,5,range,8.5,,
10,1,1,124,369,362,60,38,15,50,mean,40,standard_error,,5,
10,1,1,124,369,362,143,9,6,6.75,median,5,range,8.5,,
11,1,1,124,381,362,60,38,15,90,mean,50,standard_error,,5,
11,1,1,124,381,362,143,9,6,6.75,median,5,range,8.5,,
12,1,1,124,381,362,60,38,15,88,mean,45,standard_error,,5,
12,1,1,124,381,362,143,9,6,6.75,median,5,range,8.5,,
13,1,1,124,381,362,60,38,15,90,mean,40,standard_error,,5,
13,1,1,124,381,362,143,9,6,6.75,median,5,range,8.5,,
14,1,1,124,382,362,60,38,15,60,mean,30,standard_error,,5,
14,1,1,124,382,362,143,9,6,6.75,median,5,range,8.5,,
15,1,1,124,382,362,60,38,15,60,mean,40,standard_error,,5,
15,1,1,124,382,362,143,9,6,6.75,median,5,range,8.5,,
16,1,1,124,382,362,60,38,15,62,mean,50,standard_error,,5,
16,1,1,124,382,362,143,9,6,6.75,median,5,range,8.5,,
17,1,1,1395,369,362,60,60,15,7.7,mean,2.3,standard_error,,5,
17,1,1,1395,369,362,143,9,6,6.75,median,5,range,8.5,,
18,1,1,1395,369,362,60,60,15,8,mean,2.2,standard_error,,5,
18,1,1,1395,369,362,143,9,6,6.75,median,5,range,8.5,,
19,1,1,1395,369,362,60,60,15,7.5,mean,2.1,standard_error,,5,
19,1,1,1395,369,362,143,9,6,6.75,median,5,range,8.5,,
20,1,1,1395,380,362,60,60,15,7.5,mean,3.1,standard_error,,5,
20,1,1,1395,380,362,143,9,6,6.75,median,5,range,8.5,,
21,1,1,1395,380,362,60,60,15,7.7,mean,1.8,standard_error,,5,
21,1,1,1395,380,362,143,9,6,6.75,median,5,range,8.5,,
22,1,1,1395,380,362,60,60,15,7.5,mean,2.1,standard_error,,5,
22,1,1,1395,380,362,143,9,6,6.75,median,5,range,8.5,,
23,1,1,1395,379,362,60,60,15,7.3,mean,1.8,standard_error,,5,
23,1,1,1395,379,362,143,9,6,6.75,median,5,range,8.5,,
24,1,1,1395,379,362,60,60,15,7,mean,2.1,standard_error,,5,
