id,author,year,title,resource_type,doi_isbn,journal,volume_pages,resource_notes,user_id,created_at,updated_at
1,"Ainsworth T, Kvennefors E, Blackall L, Fine M, Hoegh-Guldberg O",2007,Disease and cell death in white syndrome of Acroporid corals on the Great Barrier Reef,paper,DOI 10.1007/s00227-006-0449-3,Marine Biology,"151, 19-29",tabulate acroporas Heron/microbiology,1,,
2,"Page C,  Willis BL",2008,Epidemiology of skeletal eroding band on the Great Barrier Reef and the role of injury in the initiation of this widespread coral disease ,paper,DOI 10.1007/s00338-007-0317-8 ,Coral reefs,"27, 257-272","distribution, prevalence and host range of SEB on a 500 km extent of the Great Barrier Reef (GBR)",0,,
3,"Willis B, Page C, Dinsdale E",2004,Coral disease on the Great Barrier Reef,book_chapter,"",Coral Health and Disease,"Chapter 3, pp. 69-104","",0,,2014-06-08 05:03:16 UTC
4,"Loya Y, Sakai K, Yamazato K, Sambali H, van Woesik R",2001,Coral bleaching: the winners and the losers,paper,http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2001.00203.x/abstract,Ecology Letters,"4, 122-131","",0,,2014-02-18 01:53:54 UTC
5,"Shutherland K, Porter J, Torres C",2004,Disease and immunity in Caribbean and Indo-Pacific zooxanthellate corals,paper,"",Mar Ecol Prog Ser,"266, 273-302",disease world/species,0,,
6,"Boyett V, Bourne D, Willis BL",2007,Elevated temperature and light enhance progression and spread of black band disease on staghorn corals of the Great Barrier Reef,paper,DOI 10.1007/s00227-006-0603-y,Marine Biology,"151, 1711-1720",acropora muricata,0,,
7,"Green E, Bruckner A",2000,The significance of coral disease epizootiology for coral reef conservation,paper,"",Biological Conservation,"96, 374-361","",0,,
8,"Antonius A, Lipscomb D",2001,First protozoan coral-killer identified the Indo-Pacific,paper,"",Atoll research bulletin ,"481, 1-21","",0,,
9,"Veron JEN, Pichon M",1980,Scleractinia of Eastern Australia: Part III ,monograph,ISBN 0 7081 0768 0,Australian institute of marine science monograph series ,Volume 4,"",0,,2014-06-08 04:57:00 UTC
10,"Veron JEN, Stafford-Smith M",2002,Corals of the World,book,"",Australian Institute of Marine Science and CCR Qld Pty Ltd.,"","Includes veron 2000, corals of the world CD ROM",1,,2014-06-08 04:57:59 UTC
11,"Carpenter KE, Abrar M, Aeby G, Aronson RB, Banks S, et al. ",2008,One-Third of Reef-Building Corals Face Elevate Extinction Risk from Climate Change and Local Impacts,paper,10.1126/science.1159196 ,Science,"321, 560-563","",1,,2013-09-18 22:18:59 UTC
12,"Veron JEN, Pichon M",1976,"Scleractinia of Eastern Australia: Part I, Families Thamnasteriidae, Astrocoenidae, Pocilloporidae ",monograph,ISBN 0 642 02320 4,Australian Institute of Marine Science Monograph Series,Volume 1,"",0,,2014-06-08 05:04:09 UTC
13,"Veron J.E.N, Pichon M, Wijsman-Best M",1977,Scleractinia of Eastern Australia: Part II,monograph,ISBN 0 642 02634 3,Australian institute of marine science monograph series,volume 3,"",0,,
14,"Rotjan R, Lewis S",2008,Impact of coral predators on tropical reefs,paper,doi: 10.3354/meps07531,Mar Ecol Prog Ser,"367, 73-91","",0,,
15,"Veron J.E.N, Wallace C",1984,Scleractinia of Eastern Australia: Part V,monograph,ISBN 0 7081 1923 9,Australian institute of marine science monograph series,volume 6,"",0,,
16,"Patten N, Harrison P, Mitchell J ",2008,Prevalence of virus-like particles withim a staghorn scleractinian coral (Acropora muricata) from the great barrier reef,paper,DOI 10.1007/s00338-008-0356-9,Coral reefs,"27, 569-580",white syndrome,0,,
17,"Jones R, Bowyer J, Hoegh-Guldberg O, Blackall L",2004,Dynamics of a temperature-related coral disease outbreak,paper,"",Mar Ecol Prog Ser,"281, 63-77",atramentous necrosis,0,,
18,"Roff G, Ulstrup K, Fine M, Ralph P, Hoegh-Guldberg O",2008,Spatial Heterogeneity of Photosynthetic Activity within diseased corals from the great barrier reef,paper,DOI: 10.1111/j.1529-8817.2008.00480.x,Journal of phycology,"44, 526-538","",0,,
19,Cumming R,1999,"Predation on reef-building corals: multiscale variation in the density of three corallivorous gastropods, Drupella spp.",paper,"",Coral reefs,"18, 147-157","",0,,
